일자,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80세이상,남성(명),여성(명),계(명),사망(명),추정사망(명)
2020-01-20,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2020-01-27,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,1,1,0,1,0,0,0,3,0,3,0,0
2020-01-31,0,0,2,0,0,1,1,0,0,1,3,4,0,0
2020-02-01,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2020-02-02,0,0,1,0,2,0,0,0,0,2,1,3,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2020-02-05,0,0,1,2,1,1,0,0,0,2,3,5,0,0
2020-02-06,0,0,1,0,1,1,0,0,0,2,1,3,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,1,0,1,0,1,0,1,2,3,0,0
2020-02-10,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,1,0,1,1,1,2,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,1,0,0,0,0,1,0,0,0,2,2,0,0
2020-02-19,0,0,8,3,4,11,4,4,0,13,21,34,0,0
2020-02-20,0,1,4,3,2,4,2,0,0,5,11,16,1,0
2020-02-21,0,1,16,7,17,16,10,6,1,34,40,74,0,0
2020-02-22,0,5,24,19,28,59,47,7,1,95,95,190,2,0
2020-02-23,1,4,53,21,37,51,30,10,3,69,141,210,0,0
2020-02-24,1,6,46,34,32,49,28,9,2,69,138,207,4,0
2020-02-25,0,6,38,19,20,26,17,3,1,43,87,130,1,0
2020-02-26,1,7,78,32,32,43,43,12,5,94,159,253,3,0
2020-02-27,6,20,167,49,59,80,42,21,5,176,273,449,1,0
2020-02-28,4,24,114,59,66,87,44,19,10,156,271,427,1,0
2020-02-29,6,24,302,108,134,149,120,41,25,324,585,909,3,0
2020-03-01,7,42,200,66,81,103,63,24,9,236,359,595,1,0
2020-03-02,5,29,181,82,113,146,82,33,15,262,424,686,6,0
2020-03-03,3,37,179,73,81,118,65,32,12,219,381,600,5,0
2020-03-04,0,29,158,53,79,100,47,35,15,186,330,516,4,0
2020-03-05,4,25,154,27,54,74,53,30,17,153,285,438,3,0
2020-03-06,7,35,148,33,43,89,65,54,44,197,321,518,7,0
2020-03-07,7,34,154,33,54,70,65,43,23,176,307,483,2,0
2020-03-08,6,33,103,32,34,64,48,26,21,172,195,367,6,0
2020-03-09,8,18,60,18,30,42,38,29,5,103,145,248,1,1
2020-03-10,1,12,21,11,25,26,13,16,6,53,78,131,3,0
2020-03-11,8,12,25,15,52,56,31,29,14,95,147,242,6,1
2020-03-12,1,7,21,8,18,25,12,14,8,47,67,114,6,0
2020-03-13,1,9,13,12,16,28,13,9,9,50,60,110,1,0
2020-03-14,4,3,15,10,16,27,15,9,8,57,50,107,5,0
2020-03-15,2,3,12,9,9,17,12,10,2,35,41,76,3,0
2020-03-16,2,5,13,7,6,17,12,5,7,33,41,74,0,0
2020-03-17,1,4,17,7,17,16,10,8,4,31,53,84,6,0
2020-03-18,1,2,12,17,7,14,25,3,12,40,53,93,3,0
2020-03-19,5,5,16,13,10,27,21,20,35,57,95,152,7,0
2020-03-20,6,8,7,7,12,14,19,6,8,33,54,87,3,0
2020-03-21,1,6,15,7,10,16,19,21,52,57,90,147,8,0
2020-03-22,2,3,16,9,19,19,13,6,11,43,55,98,2,0
2020-03-23,2,0,21,8,7,11,7,4,4,27,37,64,7,0
2020-03-24,3,7,22,3,6,14,7,9,5,40,36,76,9,0
2020-03-25,0,7,34,23,12,7,9,3,5,53,47,100,6,0
2020-03-26,1,13,35,12,6,14,8,5,10,48,56,104,5,0
2020-03-27,2,8,24,5,4,14,8,14,12,40,51,91,8,0
2020-03-28,1,5,34,19,22,28,31,2,4,98,48,146,5,1
2020-03-29,2,7,35,15,14,19,8,3,2,63,42,105,8,0
2020-03-30,1,5,28,9,5,14,8,5,3,35,43,78,6,0
2020-03-31,0,3,25,10,16,37,18,11,5,71,54,125,4,0
2020-04-01,3,4,28,14,11,14,10,7,10,41,60,101,3,0
2020-04-02,3,3,22,16,11,15,12,5,2,34,55,89,4,0
2020-04-03,2,6,30,9,13,9,9,5,3,34,52,86,5,0
2020-04-04,1,2,27,14,8,10,17,10,5,39,55,94,3,0
2020-04-05,2,5,28,17,12,6,7,3,1,46,35,81,6,1
2020-04-06,2,7,15,3,5,2,5,5,3,21,26,47,3,0
2020-04-07,0,2,15,6,7,3,10,3,1,18,29,47,6,0
2020-04-08,0,4,13,9,5,7,8,3,4,25,28,53,8,0
2020-04-09,2,4,12,7,7,1,3,0,3,22,17,39,4,0
2020-04-10,1,1,7,5,2,4,4,2,1,15,12,27,4,0
2020-04-11,1,5,6,2,2,6,7,0,1,15,15,30,3,0
2020-04-12,0,3,12,5,2,4,3,3,0,14,18,32,3,0
2020-04-13,2,1,9,3,1,2,5,1,1,14,11,25,3,0
2020-04-14,0,3,7,4,4,3,3,2,1,13,14,27,5,0
2020-04-15,0,4,10,4,3,2,1,2,1,10,17,27,3,0
2020-04-16,3,3,5,1,2,3,2,1,2,6,16,22,4,0
2020-04-17,1,4,9,3,1,2,1,1,0,14,8,22,1,0
2020-04-18,2,0,9,1,1,2,1,1,1,7,11,18,2,0
2020-04-19,0,2,3,1,0,1,0,0,1,4,4,8,2,0
2020-04-20,0,3,5,2,0,3,0,0,0,5,8,13,2,0
2020-04-21,0,2,1,0,1,3,0,1,1,6,3,9,1,0
2020-04-22,0,1,3,1,4,0,1,1,0,6,5,11,1,0
2020-04-23,0,1,2,1,1,1,0,1,1,4,4,8,2,0
2020-04-24,0,1,1,1,0,1,1,0,1,5,1,6,0,0
2020-04-25,1,1,3,1,2,0,2,0,0,4,6,10,0,0
2020-04-26,1,0,3,5,1,0,0,0,0,6,4,10,2,0
2020-04-27,0,2,3,4,1,0,0,0,0,4,6,10,1,0
2020-04-28,0,2,5,2,1,2,1,1,0,7,7,14,1,0
2020-04-29,0,0,3,2,3,1,0,0,0,4,5,9,2,0
2020-04-30,0,0,1,2,1,0,0,0,0,4,0,4,1,0
2020-05-01,0,0,5,1,2,0,0,0,1,4,5,9,1,0
2020-05-02,0,0,3,1,1,0,1,0,0,6,0,6,2,0
2020-05-03,0,1,2,3,2,0,2,1,2,7,6,13,0,0
2020-05-04,0,0,2,1,3,0,2,0,0,6,2,8,2,0
2020-05-05,0,0,0,1,1,1,0,0,0,2,1,3,2,0
2020-05-06,0,0,0,1,0,0,1,0,0,2,0,2,1,0
2020-05-07,0,1,2,1,0,0,0,0,0,3,1,4,1,0
2020-05-08,1,0,1,7,2,0,1,0,0,7,5,12,0,0
2020-05-09,0,2,12,3,0,1,0,0,0,17,1,18,0,0
2020-05-10,0,3,19,3,4,2,2,1,0,24,10,34,0,0
2020-05-11,0,1,21,8,4,0,1,0,0,31,4,35,0,1
2020-05-12,1,4,10,6,2,3,0,0,1,20,7,27,2,0
2020-05-13,1,1,13,5,2,1,1,1,1,18,8,26,1,0
2020-05-14,0,11,14,3,1,0,0,0,0,17,12,29,1,0
2020-05-15,2,3,11,4,2,1,2,2,0,17,10,27,0,0
2020-05-16,2,2,7,3,1,1,3,0,0,11,8,19,2,0
2020-05-17,0,1,5,2,3,1,0,1,0,5,8,13,0,0
2020-05-18,0,1,3,4,5,1,1,0,0,11,4,15,1,0
2020-05-19,1,0,5,0,0,3,3,1,0,10,3,13,0,0
2020-05-20,0,7,12,4,6,1,1,1,0,23,9,32,0,0
2020-05-21,0,4,3,2,3,0,0,0,0,9,3,12,1,0
2020-05-22,1,2,8,4,2,2,0,1,0,15,5,20,0,0
2020-05-23,0,1,2,6,1,9,3,0,1,12,11,23,2,0
2020-05-24,0,2,4,4,7,4,3,1,0,15,10,25,0,0
2020-05-25,0,1,3,3,2,5,2,0,0,8,8,16,1,0
2020-05-26,1,1,3,4,3,4,1,2,0,13,6,19,2,0
2020-05-27,3,2,8,6,3,6,8,3,1,16,24,40,0,0
2020-05-28,2,4,15,26,14,12,6,0,0,48,31,79,0,0
2020-05-29,1,6,12,9,10,9,8,0,3,31,27,58,0,0
2020-05-30,1,5,9,2,4,10,4,1,3,21,18,39,0,0
2020-05-31,0,0,9,7,4,6,1,0,0,15,12,27,1,0
2020-06-01,1,2,2,4,6,13,5,2,0,12,23,35,1,0
2020-06-02,0,2,5,3,2,9,11,5,1,23,15,38,1,0
2020-06-03,1,2,5,6,5,9,15,6,0,23,26,49,1,0
2020-06-04,1,1,5,3,2,10,9,6,2,19,20,39,0,0
2020-06-05,1,1,5,2,4,6,10,7,3,21,18,39,0,1
2020-06-06,3,1,2,6,11,8,9,8,3,27,24,51,0,1
2020-06-07,1,6,3,6,8,11,12,8,2,30,27,57,0,0
2020-06-08,1,1,5,2,5,6,11,3,3,12,25,37,0,0
2020-06-09,0,0,3,2,4,10,9,5,5,18,20,38,1,0
2020-06-10,1,2,6,9,1,7,16,7,1,22,28,50,2,0
2020-06-11,1,3,6,10,4,10,5,5,1,28,17,45,0,0
2020-06-12,0,3,11,8,2,16,13,2,1,31,25,56,1,0
2020-06-13,0,2,9,1,3,9,8,6,10,19,29,48,0,0
2020-06-14,0,0,8,3,6,7,8,1,1,16,18,34,0,0
2020-06-15,2,0,5,5,11,6,4,3,1,20,17,37,0,0
2020-06-16,2,1,3,4,4,6,8,6,0,22,12,34,1,1
2020-06-17,2,1,8,14,2,7,3,5,1,18,25,43,1,0
2020-06-18,1,1,10,4,6,9,13,7,8,25,34,59,1,0
2020-06-19,0,2,8,9,3,12,11,3,1,25,24,49,0,0
2020-06-20,2,4,9,13,8,12,13,3,3,39,28,67,0,0
2020-06-21,0,1,5,10,5,8,10,6,3,25,23,48,0,0
2020-06-22,0,1,3,4,1,5,2,1,0,9,8,17,0,0
2020-06-23,3,0,5,9,9,8,7,4,1,35,11,46,1,1
2020-06-24,2,1,3,14,12,10,5,2,2,31,20,51,0,0
2020-06-25,1,2,1,9,2,6,5,2,0,16,12,28,1,0
2020-06-26,1,1,8,10,5,5,6,1,2,23,16,39,0,0
2020-06-27,1,2,14,10,6,5,7,4,2,28,23,51,0,0
2020-06-28,2,3,12,13,9,6,13,3,1,38,24,62,0,1
2020-06-29,3,1,9,5,6,5,12,1,0,20,22,42,0,0
2020-06-30,2,4,10,6,8,6,3,3,0,25,17,42,0,0
2020-07-01,0,2,4,12,2,17,6,7,1,29,22,51,0,0
2020-07-02,2,2,8,6,2,14,12,7,1,31,23,54,0,0
2020-07-03,1,10,10,10,6,7,10,4,3,31,30,61,0,0
2020-07-04,3,2,12,16,8,8,9,2,3,38,25,63,1,0
2020-07-05,3,3,8,9,11,7,14,6,0,31,30,61,0,1
2020-07-06,5,1,8,9,6,9,5,2,3,26,22,48,1,0
2020-07-07,1,2,11,7,7,7,7,2,0,22,22,44,1,0
2020-07-08,1,3,11,11,15,9,5,6,1,35,27,62,0,1
2020-07-09,2,4,11,7,11,10,3,1,1,28,22,50,2,0
2020-07-10,3,3,10,9,5,8,3,3,1,36,9,45,1,0
2020-07-11,1,0,8,6,2,8,2,4,4,22,13,35,0,0
2020-07-12,2,6,4,13,5,3,9,1,1,32,12,44,1,0
2020-07-13,3,4,18,15,9,4,5,3,1,39,23,62,0,1
2020-07-14,2,2,6,5,3,6,4,4,1,16,17,33,0,0
2020-07-15,1,1,4,8,9,9,7,0,0,33,6,39,0,0
2020-07-16,6,2,13,15,9,6,6,3,1,47,14,61,2,1
2020-07-17,3,1,9,14,14,8,6,3,2,35,25,60,2,1
2020-07-18,3,4,10,5,9,7,0,1,0,23,16,39,1,0
2020-07-19,3,2,4,9,3,4,6,2,1,21,13,34,1,0
2020-07-20,2,2,8,6,4,2,1,0,1,19,7,26,1,0
2020-07-21,1,1,12,8,3,5,3,8,4,25,20,45,0,0
2020-07-22,0,7,8,8,10,9,11,6,4,39,24,63,1,1
2020-07-23,0,4,19,3,8,12,9,4,0,38,21,59,0,0
2020-07-24,1,1,3,5,6,8,11,4,2,23,18,41,1,0
2020-07-25,1,1,13,38,34,14,8,2,2,96,17,113,0,2
2020-07-26,0,0,4,13,15,18,5,1,2,49,9,58,0,0
2020-07-27,1,1,5,8,3,0,2,4,1,13,12,25,1,0
2020-07-28,2,2,4,4,7,5,3,1,0,22,6,28,1,0
2020-07-29,0,1,6,16,11,5,4,5,0,32,16,48,0,1
2020-07-30,0,0,2,6,4,0,6,0,0,13,5,18,0,0
2020-07-31,1,0,5,13,8,4,3,1,1,24,12,36,1,0
2020-08-01,1,0,0,10,6,8,5,1,0,23,8,31,0,0
2020-08-02,2,0,5,7,8,4,2,1,1,21,9,30,0,0
2020-08-03,2,3,4,2,2,5,4,1,0,15,8,23,0,0
2020-08-04,4,5,6,5,6,4,2,0,2,23,11,34,0,0
2020-08-05,1,3,6,7,4,6,5,1,0,23,10,33,1,0
2020-08-06,0,4,13,3,3,8,9,3,0,34,9,43,0,0
2020-08-07,0,4,3,1,5,2,5,0,0,12,8,20,1,0
2020-08-08,1,1,7,4,4,10,13,3,0,23,20,43,1,0
2020-08-09,4,1,7,5,3,7,7,0,2,17,19,36,1,0
2020-08-10,0,0,4,3,3,4,13,1,0,14,14,28,0,0
2020-08-11,0,0,6,5,4,9,7,3,0,20,14,34,0,0
2020-08-12,1,7,4,11,12,12,2,3,2,34,20,54,0,0
2020-08-13,2,6,11,12,5,10,6,2,2,31,25,56,0,0
2020-08-14,4,10,14,17,16,19,15,6,2,51,52,103,0,0
2020-08-15,4,10,32,20,24,33,29,11,3,70,96,166,0,0
2020-08-16,3,23,39,28,35,58,56,31,6,102,177,279,0,0
2020-08-17,5,13,22,27,23,37,49,14,7,75,122,197,0,0
2020-08-18,5,18,17,27,27,62,66,22,2,90,156,246,1,0
2020-08-19,14,17,28,32,39,58,73,29,7,108,189,297,0,0
2020-08-20,12,35,31,35,32,55,47,30,11,134,154,288,1,0
2020-08-21,6,19,42,40,42,61,74,34,6,148,176,324,2,1
2020-08-22,11,19,55,40,48,66,56,34,3,145,187,332,0,1
2020-08-23,16,35,34,40,62,82,86,27,14,157,239,396,0,0
2020-08-24,9,13,30,35,39,48,52,24,16,118,148,266,0,1
2020-08-25,15,18,42,30,33,53,50,30,9,137,143,280,1,1
2020-08-26,13,13,37,47,42,60,57,34,17,145,175,320,2,1
2020-08-27,9,27,51,49,71,109,65,41,19,207,234,441,1,0
2020-08-28,16,18,32,49,52,71,65,48,20,175,196,371,3,2
2020-08-29,16,18,31,36,47,54,67,36,18,141,182,323,5,1
2020-08-30,10,12,44,39,38,55,72,21,8,154,145,299,2,1
2020-08-31,10,11,43,15,28,49,55,26,11,114,134,248,1,1
2020-09-01,14,17,25,24,24,46,45,30,10,114,121,235,0,1
2020-09-02,10,12,43,25,24,48,51,40,14,133,134,267,2,2
2020-09-03,7,7,22,21,29,36,34,22,17,87,108,195,3,1
2020-09-04,9,7,17,24,27,39,38,22,15,94,104,198,2,1
2020-09-05,3,6,14,19,19,38,42,18,9,82,86,168,2,0
2020-09-06,8,3,19,15,25,35,39,16,7,79,88,167,1,1
2020-09-07,3,5,13,17,16,22,21,20,2,66,53,119,2,1
2020-09-08,5,8,12,17,17,33,27,14,3,73,63,136,5,0
2020-09-09,6,8,8,16,15,29,46,22,6,76,80,156,3,1
2020-09-10,12,4,12,13,17,29,45,12,11,76,79,155,2,0
2020-09-11,3,3,22,19,22,34,40,16,17,77,99,176,4,0
2020-09-12,4,5,16,12,18,34,29,14,4,81,55,136,5,1
2020-09-13,4,3,24,14,11,19,30,12,4,63,58,121,3,1
2020-09-14,2,3,17,11,11,24,26,12,3,51,58,109,5,0
2020-09-15,6,8,8,10,18,18,25,11,2,48,58,106,4,1
2020-09-16,1,3,14,9,17,22,25,18,4,67,46,113,0,1
2020-09-17,5,8,25,11,20,36,27,17,4,74,79,153,5,0
2020-09-18,3,4,16,17,21,24,24,12,5,57,69,126,5,0
2020-09-19,1,5,6,7,9,35,26,15,6,45,65,110,1,0
2020-09-20,1,4,7,10,14,12,17,12,5,48,34,82,5,1
2020-09-21,1,4,18,10,6,13,9,9,0,36,34,70,2,0
2020-09-22,1,2,6,10,10,16,10,5,1,37,24,61,3,0
2020-09-23,4,4,9,10,14,23,19,22,5,59,51,110,0,1
2020-09-24,6,4,15,9,17,29,27,9,9,65,60,125,5,0
2020-09-25,5,3,12,14,15,19,22,14,10,54,60,114,2,1
2020-09-26,1,6,7,7,5,10,16,9,0,25,36,61,4,0
2020-09-27,0,4,14,16,12,19,20,7,3,42,53,95,2,0
2020-09-28,4,4,5,3,5,10,12,3,4,26,24,50,5,0
2020-09-29,2,2,8,7,7,5,4,0,3,27,11,38,1,0
2020-09-30,5,5,8,20,20,26,18,9,2,77,36,113,6,1
2020-10-01,6,4,7,9,14,13,13,7,4,42,35,77,2,1
2020-10-02,3,6,6,10,6,11,13,4,4,38,25,63,1,0
2020-10-03,1,1,6,13,11,11,16,13,3,47,28,75,4,1
2020-10-04,0,4,4,9,13,8,12,8,6,40,24,64,1,1
2020-10-05,0,3,17,9,8,12,14,6,4,47,26,73,1,1
2020-10-06,5,8,26,8,2,11,9,4,2,49,26,75,0,0
2020-10-07,1,2,8,13,10,28,31,16,5,53,61,114,3,0
2020-10-08,6,5,6,7,9,12,11,10,3,39,30,69,2,1
2020-10-09,1,11,8,7,6,5,10,4,2,28,26,54,1,0
2020-10-10,1,3,11,7,6,11,22,7,4,40,32,72,2,1
2020-10-11,4,0,11,14,8,6,6,6,3,34,24,58,2,1
2020-10-12,8,2,19,19,16,12,12,8,2,56,42,98,1,1
2020-10-13,5,7,18,15,17,10,11,7,1,53,38,91,1,1
2020-10-14,4,7,30,11,11,9,8,2,2,51,33,84,4,0
2020-10-15,5,3,16,11,11,8,14,11,31,32,78,110,1,0
2020-10-16,0,2,7,9,10,8,7,2,2,21,26,47,2,0
2020-10-17,2,2,6,15,5,20,17,2,4,26,47,73,2,0
2020-10-18,2,4,12,14,14,21,15,8,1,48,43,91,1,0
2020-10-19,2,3,13,7,15,13,7,7,9,36,40,76,0,0
2020-10-20,3,3,11,7,12,9,9,3,1,38,20,58,3,1
2020-10-21,1,4,12,10,18,15,14,5,10,47,42,89,3,1
2020-10-22,2,2,18,12,18,24,26,11,8,60,61,121,3,1
2020-10-23,2,11,10,18,21,26,26,13,28,73,82,155,2,0
2020-10-24,7,7,12,4,9,14,14,5,5,41,36,77,2,0
2020-10-25,5,7,10,8,11,9,6,1,4,26,35,61,0,0
2020-10-26,6,5,21,25,22,22,11,3,4,51,68,119,0,0
2020-10-27,2,7,12,9,14,23,13,4,4,41,47,88,3,0
2020-10-28,4,6,20,15,17,20,9,7,5,46,57,103,1,0
2020-10-29,11,8,13,23,14,18,24,10,4,68,57,125,1,1
2020-10-30,8,9,16,16,19,16,19,6,4,54,59,113,1,0
2020-10-31,7,5,21,22,18,26,8,10,10,63,64,127,1,0
2020-11-01,5,14,24,19,25,13,15,6,3,60,64,124,2,1
2020-11-02,7,9,9,13,19,10,18,8,4,48,49,97,2,1
2020-11-03,3,5,17,13,6,14,12,4,1,43,32,75,4,0
2020-11-04,2,3,18,25,11,20,23,10,5,60,57,117,2,0
2020-11-05,1,8,21,20,23,29,15,6,2,63,62,125,1,0
2020-11-06,9,7,24,24,26,28,13,9,5,74,71,145,1,0
2020-11-07,1,5,10,15,21,9,13,11,4,50,39,89,1,1
2020-11-08,3,4,9,26,22,22,24,24,9,76,67,143,1,2
2020-11-09,3,6,15,25,19,19,15,15,9,57,69,126,2,1
2020-11-10,3,9,21,13,11,14,15,9,5,56,44,100,5,1
2020-11-11,6,5,20,18,12,20,30,19,15,67,78,145,2,1
2020-11-12,6,13,26,23,22,25,15,9,4,77,66,143,0,0
2020-11-13,7,9,28,19,24,41,28,17,18,91,100,191,1,0
2020-11-14,12,14,36,32,29,36,32,7,7,105,100,205,4,0
2020-11-15,8,13,26,27,27,49,40,13,5,100,108,208,1,0
2020-11-16,5,12,37,27,29,40,53,15,4,117,105,222,1,1
2020-11-17,11,12,37,26,36,44,38,18,8,118,112,230,0,1
2020-11-18,4,16,44,38,51,51,40,20,21,158,127,285,2,2
2020-11-19,23,43,46,36,52,53,44,17,11,164,161,325,2,1
2020-11-20,11,35,63,48,53,55,43,28,12,177,171,348,3,1
2020-11-21,15,36,108,49,56,56,37,23,6,210,176,386,2,2
2020-11-22,17,20,65,47,64,56,32,18,11,173,157,330,2,1
2020-11-23,23,21,41,41,49,50,20,17,9,128,143,271,4,0
2020-11-24,16,17,66,53,60,62,43,25,7,190,159,349,1,2
2020-11-25,11,31,52,61,75,72,46,24,10,206,176,382,3,2
2020-11-26,21,57,125,81,93,95,72,28,9,294,287,581,2,1
2020-11-27,21,40,81,80,96,116,68,27,26,299,256,555,1,1
2020-11-28,13,38,74,77,95,78,82,30,16,262,241,503,6,3
2020-11-29,18,36,93,66,69,83,46,26,13,233,217,450,1,1
2020-11-30,16,54,60,54,58,87,59,24,26,213,225,438,3,0
2020-12-01,15,47,81,67,63,94,43,27,14,233,218,451,0,0
2020-12-02,19,43,85,89,79,98,57,23,18,262,249,511,0,0
2020-12-03,31,41,104,68,93,95,75,27,6,273,267,540,3,1
2020-12-04,25,46,101,80,89,119,93,43,32,287,341,628,7,0
2020-12-05,23,52,98,65,77,92,89,50,31,282,295,577,4,2
2020-12-06,22,30,72,90,73,123,111,68,42,339,292,631,5,2
2020-12-07,14,31,84,75,73,139,100,59,40,296,319,615,4,0
2020-12-08,20,35,72,71,81,111,89,55,53,271,316,587,3,1
2020-12-09,24,39,67,95,96,121,124,72,32,335,335,670,4,3
2020-12-10,37,53,80,111,92,110,114,53,30,351,329,680,8,2
2020-12-11,35,44,83,82,102,123,102,63,55,336,353,689,8,2
2020-12-12,52,86,97,113,143,174,148,69,68,436,514,950,6,0
2020-12-13,36,74,110,109,150,192,183,105,71,483,547,1030,2,3
2020-12-14,31,54,99,75,119,138,107,49,46,331,387,718,7,1
2020-12-15,40,54,100,112,125,151,133,79,86,415,465,880,13,2
2020-12-16,45,69,153,104,142,215,191,91,68,556,522,1078,12,3
2020-12-17,56,55,107,124,141,214,173,85,59,473,541,1014,22,0
2020-12-18,40,66,123,131,134,227,186,91,66,483,581,1064,11,0
2020-12-19,33,65,132,111,153,217,176,81,77,470,575,1045,14,0
2020-12-20,47,71,137,142,153,233,187,79,47,626,470,1096,15,3
2020-12-21,46,45,97,116,124,195,160,87,54,459,465,924,24,1
2020-12-22,31,56,104,104,124,179,131,86,51,421,445,866,24,2
2020-12-23,46,62,102,124,143,246,189,96,82,528,562,1090,17,0
2020-12-24,36,69,128,136,133,183,171,75,54,485,500,985,17,2
2020-12-25,47,66,158,169,197,239,214,86,64,771,469,1240,17,8
2020-12-26,47,80,128,148,178,209,171,89,81,565,566,1131,20,3
